job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1923,Data entry,"US, TX, Fort Worth",,20000-38000,,"Data Entry ClerkData Entry Clerk Job Purpose: Maintains database by entering new and updated customer and account information.Data Entry Clerk Job Duties:Prepares source data for computer entry by compiling and sorting information; establishing entry priorities. Processes customer and account source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the team leader for resolution. Enters customer and account data by inputting alphabetic and numeric information on keyboard or optical scanner according to screen format. Maintains data entry requirements by following data program techniques and procedures. Verifies entered customer and account data by reviewing, correcting, deleting, or reentering data; combining data from both systems when account information is incomplete; purging files to eliminate duplication of data. Tests customer and account system changes and upgrades by inputting new data; reviewing output. Secures information by completing data base backups. Maintains operations by following policies and procedures; reporting needed changes. Maintains customer confidence and protects operations by keeping information confidential. Contributes to team effort by accomplishing related results as needed.","Skills/Qualifications: Organization, Typing, Data Entry Skills, Attention to Detail, Confidentiality, Thoroughness, Decision Making, Independence, Analyzing Information , Results Driven, Energy Level"," Health, Dental, Life and AD&amp;D Insurance, Employee Wellness and 401k plans. Paid Time Off and Holidays with Generous Company Discounts.",0,0,0,Full-time,Entry level,High School or equivalent,Accounting,Accounting/Auditing,1
1936,Hardware/Electrical Engineer,"US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Aker Solutions is a leading global provider of engineering and technology, products and service solutions to the Oil &amp; Gas industry.At Aker Solutions we offer an ocean of opportunities. Our people are our biggest asset and our business relies on their abilities to win projects and execute them to the highest standards. We are committed to developing our people’s capabilities through challenging tasks supported by excellent training and development opportunities.All our major achievements are team efforts. We are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs.Responsibilities and tasksResponsibilities are carried out within a centralised structured environment whereby normal management reporting is to your immediate line manager.• Executing the development, qualification, implementation, test, and maintenance of hardware/electrical development workscopes.• Ensure allocated workscopes are produced within budget and timescale.• Assist with estimates of effort and best technical solution• Ensure all work activities are in accordance with Aker Solutions procedures.• Produce technical investigations and reports. • Working offshore/overseas as the role requires.• Identifying processes and patterns of work areas and recommending procedures to improve standardisation and consistency of approach to the Manager.• Monitoring trends and new products in the marketplace, which could benefit the company, and recommending to Manager/Lead.• Technical overview and control of suppliers supplying hardware/electrical services and equipment to assigned workscopes. Work with Manager to ensure ongoing, consistent and quality service from these suppliers.• Production of drawings/documentation for assigned workscopes within the SAP document approval cycle• Demonstrate commitment to operating System procedures and the processes of continuous improvement• In addition to the duties listed, the jobholder is required to perform other duties assigned by his/her Manager from time to time.","Qualifications &amp; personal attributes:Degree or HNC/HND with relevant industry experience in an electrical or electronic background.Experience within a design environment, preferably within the Oil and Gas Subsea Controls IndustryPreferably Chartered Engineer StatusStrong electrical background/experience preferrably with Computer-controlled industrial control systems.Knowledge of networking and an understanding of communication protocols: RS232, RS485, RS422, Modbus RTU and TCP/IP etc.Knowledge of Windows based control systemsUnderstanding/experience in working with ISO 9001 operating proceduresAble to demonstrate a logical approach to system design and appreciation of system processes, procedures, and requirements.Must posses strong communication and presentation skills both written and oral and posses the ability to discuss and conclude technical discussions effectively at all levelsFamiliar with participation in FMEA, FMECA &amp; Risk Analysis activitiesWe offer:• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.If you would like to join us on our journey, take a position with Aker Solutions, the preferred partner.",,0,1,0,Full-time,Mid-Senior level,Master's Degree,Oil & Energy,Engineering,1
1961,Mobile Developer-Back End,"US, WA, Seattle",Information Technology,,"Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral            ","Managing over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than   3 million daily weather measurements, we are one of the largest users of Amazon Web Services.Today we are focused on helping farmers protect and increase their profits in the face of increasingly extreme weather.  At the heart of the company is our unique technology platform, which encompasses our core competencies across weather monitoring, agronomic modeling, and weather simulation, and accounts for over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than 3 million daily weather measurements.  This platform powers the company’s portfolio of technology-based products and services, which are revolutionizing agricultural risk management and farm management. We are leaving a mark on the world in our DNA; we want to make a lasting and meaningful real-world impact.  We relish big problems because they are the most interesting to tackle, the most rewarding, and typically the most valuable to solve.  We also thrive on finding the possible in the impossible.If you are the best at what you do, you like solving interesting problems, and you are looking for like-minded people dedicated to having a major impact on the world, we are eager to talk with you.Mobile Developer - Back EndWe are looking for experienced Ruby developers to join our engineering team, focusing on building back end support for the development of mobile applications for growers.What You Will Do:Write highly scalable and robust RESTful APIs to empower our mobile applications.Work closely with the iOS and Android team to ensure seamless integration with the back end.Opportunity to learn new technologies and frameworks.  ","What You Offer:Experience in writing clean and idiomatic Ruby code.Familiarity with the OOP and design patterns.A passion for clean and testable codeDetail orientation and strong collaboration skillsFamiliarity with CS fundamentals - a BS or MS in CS or equivalentWillingness to rapidly iterate and build out our application suite Bonus Points:Past experience with Test Driven or Behavior Driven Development.Some significant open source contribution.Past experience with JRuby, EventMachine, Ruby Fibres, Sinatra. ","What We Offer:Our team is composed of some of the most brilliant interdisciplinary minds in the industry. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible product and experience for our customers.Competitive salary, excellent benefits, and some of the best perks in the industry, including:We provide meals and a large assortment of snacks, drinks, fruits, coffees, and teas to help you get through the day.We let you explore personally compelling topics by occasionally taking time to work on independent projects and contributing the results back to the open source community. Company sponsored outings, including go-kart races, kayaking, holiday yacht parties, and sporting events, etc.We sponsor hackathons, meetup groups, networking events, tech-talks, and conference trips. If you want to get involved in the tech community, we'll support your efforts. We encourage all employees to better understand our customers by getting out of the office and hearing firsthand from the agents and farmers our products serve.Energetic idea-driven work environment with an exciting culture.Exciting world-changing opportunity - we are solving problems that have a massive impact on the world!A driven, talented team that aims to make a large-scale impact through an innovative technology platform. ",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,1
1994,Facilities Development Engineer,,,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Aker Solutions' Concept and Technology team based in St. John's, Newfoundland provides all front-end engineering services required for the development of oil and gas exploration and production facilities, with a strategic focus on field developments in varying water depth and harsh environments. Aker Solutions delivers complete field development solutions and undertakes all activities required to provide the facilities needed for oil and gas exploration, production and processing.Our products and services range from feasibility studies and field planning, through concept screening and selection, concept definition and project execution strategy, to detail engineering, procurement and construction management assistance.We need highly skilled engineers who can strengthen our team and support our ambitious growth plans and clients within the region. We are looking for a Facilities Development Engineer.Responsibilities and tasksManage execution of Facilities System and Topsides Front End Engineering scopes including staffing and competence development.Participate in defining strategies and business development to develop new client basis. Ensure that all system solutions in support of new business opportunities meet specified functional design criteria, and all technical and regulatory requirements.Identify and execute Facilities Systems and Topsides Front End Engineering work including opportunity appraisal, feasibility and concept screening studies, Pre-FEED and FEED. Coordinate and collaborate with subject matter experts within Aker Solutions in providing solutions, establishing and carrying out scope of works related to Facilities concepts. Understands project execution and can play a key role in project kick-off as per Aker Solution’s Project Execution Model (PEM). Assist in identifying project Risks, &amp; Opportunities, uncertainties and contribute to identification of mitigation strategies.","Qualifications &amp; personal attributesBachelor of Engineering Degree (or higher) With more than 15 years’ experience in Topsides and/or Field Development Feasibility and concept design, of which at least four years at specialist / managerial level. Overall understanding of totality and disciplines relevant for development of topsides as part of field development concepts.Experience with front-end opportunity appraisal, option evaluation, feasibility assessments and concept development selection.Assets: Significant project engineering and offshore installation and construction experience, preferably in harsh &amp; ice prone environmentsProject cost estimating, schedule development, economic screening and evaluation experience.Experience in concept development and field development planning Knowledge of all project development stages. Knowledge and understanding of CNLOPB and Transport Canada Regulation requirements.Key Competencies:Facilities Development Engineer will display the following competencies and complete the below described essential duties.Analyse Issues and Solve Problems - Gathers the most important information; analyses, incorporates, and applies new information and concepts; recognizes symptoms that indicate problems; makes sound and timely decisions.Understand Strategies - Demonstrates understanding and support of the organization’s mission and strategies; integrates and balances big-picture concerns with day-to-day activities. Encourages Commitment - Projects a positive image and serves as a role model for others; promotes commitment to the organization’s vision, values, and direction; acknowledges others’ efforts and accomplishments.Communicate Effectively - Expresses ideas clearly and concisely; listens carefully and attentively to others’ opinions and ideas; shares information and viewpoints openly and directly with others.Execute Efficiently - Delegates responsibility and conveys clear expectations to the appropriate staff; monitors the progress of others and redirects efforts and/or removes obstacles in order to get efforts back on track; deals with high-priority work activities first.Show Initiative - Sets high standards of performance for self and others and maintains a consistent, high level of productivity; takes personal responsibility to make decisions and take action; does not easily give up in the face of obstacles.Seek Customer Satisfaction - Seeks feedback from customers; tracks performance against customer requirements; addresses customer needs by involving the right people at the right time and follows up to ensure problems are solved.We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.Consistent with the Accords Act, residents of Newfoundland and Labrador specifically, and Canadians in generally, who are qualified, will be given first consideration for training and employment.",,0,1,0,Full-time,Executive,Bachelor's Degree,Oil & Energy,Engineering,1
1996,Customer service/ Data Entry,"US, AL,  ALEXANDER CITY",,,,"Customer Service SpecialistWe are currently looking for talented and creative individuals to continue growing the company. If you're looking to work in an organization where you can make a long-term home, and flex both your technical and creative skills, this may be the role for you! We pride ourselves on a work hard/play hard mentality and friendly, team-based culture.We're searching for a full-time Customer Support Specialist with strong customer service background, excellent communication skills and outgoing personality.Primary ResponsibilitiesRespond to incoming calls and e-mail / mail requestsContact current customersVerify payment requests over the telephoneDuring low volume intervals perform customer follow-ups, research escalated issues, and complete special projects","Skills/RequirementsSome customer support experience preferred, but will train the right candidateMinimum high school diploma or equivalentAbility to multi-taskPositive attitude and friendly telephone demeanorProfessional written and communication skillsBasic knowledge of computers","Benefits &amp; CompensationExcellent health insurance including medical, dental and vision401K with matching planPaid holidays, vacation and sick daysCompensation:Hourly., DOE",1,0,0,Full-time,Entry level,Unspecified,Telecommunications,,1
2010,Java Developer,"US, CA, California",Technology,,,"Director of Quality AssuranceNomis is searching for a Director of Quality Assurance to lead our Quality Engineering group and own the quality and consistency of product development, customer implementation, and operations.Who We Are &amp; What We BuildOur top-notch people, proven Hadoop technology stack, and complex analytics are tackling big data challenges at banks every day to deliver mission critical customer, pricing, and product mix insights that benefit banks and their customers. Our vision is to transform consumer banking and play quite a bit of table tennis along the way.Who You AreYour middle name is Quality, and you are obsessed with continuously raising the bar. You are a hands-on, inspirational leader that balances thoroughness, efficiency, and tight timeframes. You are passionate about building a world-class Quality Engineering group and improving banking – there is a lot to be done.ResponsibilitiesUnify and own quality engineering across products, implementations, and operationsMentor a team of on/offshore quality engineers, create a pervasive quality culture, and gamify testingDefine an analytic testing methodology that includes synthetic data sets, expert models, and vertical configurationPartner with other teams to continuously adapt testing to meet constraints while maximizing its utilityEstablish metrics to benchmark product quality against non/functional requirements and customer satisfactionContinually innovate and automate a robust and rapid testing infrastructure","Desired Skills &amp; Experience10+ years experience in a software quality/testing role, with 3+ years as an architect/hands-on managerDeep expertise testing web-based, enterprise software powered by data and complex analyticsHigh comfort working with Selenium, JMeter, Java, and Ant (or other scripting languages)Strong knowledge of relational databases (SQL or similar) and exposure to non-relational technologiesOperational understanding of statistical concepts and applications",,0,0,0,Full-time,Internship,Professional,Accounting,Customer Service,1
2014,Contract - Design Engineer,"US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Responsibilities and tasksResponsible for general design tasks within his/her areaProduce concepts, drawings, assemblies and parts by means of the SolidWorks CAD system and SAP PLM toolSupport Lead Engineers with technical input Responsible for compliance to regulations for health, environment and safetyDesign calculations (hand calculations or tools) in order to verify strength of components and similar. Assist the staff organization during tender work when neededAdhere to governing documents and regulations for company.","Qualifications &amp; personal attributesB.Sc. degree in relevant engineering discipline. (Persons not having relevant theoretical qualifications must have minimum 3 years practical experience from relevant industry)Practical experience with 3D-modelling, assembly &amp; machining drawings, geometrical tolerances SolidWorks CAD System or other similar 3D CAD systemsNeeds to be structured and analytic Independent with good communication skillsTeam-player and solution orientedGood communication skillsWe offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.",,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Oil & Energy,Engineering,1
2015,Assistant Account position!!!,"AU, ,",,,,"An exciting opportunity exists to fill a part-time position as an Assistant Accountant for an immediate start in Sydney region.In this role you will be a key member of our team, responsible for the overall bookkeeping duties of our clients. You will be required to be pro-active in your duties and take on any task required.",To be considered for this role you will have: Daily cash reporting and cash flow forecast assistingAd-hoc monthly reports for managementFinancial reportingOther duties as required  Essential selection criteria: Ability to work independentlyAdvanced user of Excel (formulas and pivot tables)Payroll knowledge would be an advantageExcellent attention to detail,good salary,0,0,1,Part-time,,,,,1
2020,"Discipline Manager Civil, Structural, Marine, Architectural","US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions Engineering &amp; Technology division based in Houston, Texas, require a Structural Divisional Manager to provide leadership, supervision, and guidance to discipline and engineers and designers.Responsibilities and tasksRESPONSIBILITES:- Oversee all CSMA aspects of project execution within AETL office- Provide leadership, supervision and guidance to discipline engineers and designers- Estimate,plan and manage discipline budget- Undertake technical peer reviews of projects- Review discipline staffing requirements and assign suitably qualified and experienced persons to projects as required- Recruit CSMA personnel and build the AETL CSMA team- Support training and development of staff- Conduct annual performance reviews of staff- Develop and maintain discipline corporate processes and procedures- Generate discipline man-hour estimates and CTRs for projects and bids- Provide input to proposals in the form of narratives and reviews- Provide discipline input to bid evaluations, review tender documents, prepare SOW documents and deliverables- Develop and maintain good working relationships with clients across Aker Solutions offices- Maintain active contact with professional institutions related to CSMA- Keep up-to-date with technical developments, National and International standards and legislative requirements related to discipline.","EXPERIENCE: - Good awareness of construction,transportation and installation techniques used in the offshore oil and gas contracting industry- Extensive knowledge and experience in the analysis and design of fixed and mobile offshore oil and gas production facilities (12 years +desirable)- Sound knowledge of the relevant design codes for the design of offshore installations - API,NORSOK,DNV,Noble Denton, ISO 19900- Previous experience in managerial position desirableQualifications &amp; personal attributes- Degree qualified- Chartered engineer and member of relevant engineering institution (MICE,MIStructE)",We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.,0,1,0,Full-time,,Professional,Oil & Energy,Engineering,1
2022,Subsea Process System Engineer,"US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureWe are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future. Aker Solutions is a world leading supplier of subsea pumping, compression, processing and power distribution systems for the subsea oil and gas industry. Currently we are realizing the Åsgard Subsea Compression System ready to start up in 2015. We see a development of market opportunities, where even more processing systems are moved subsea establishing the future subsea factory. Aker Solutions will split into two companies, one that will retain the Aker Solutions name and will focus on the subsea business and field design and a new oil-services investment company named Akastor consisting of six businesses that will be run independently.Aker Solutions’ subsea power and process unit is continuously improving solutions realizing the subsea factory. We are looking for highly motivated and creative engineers capable of shaping this future.We have several open positions at Houston, TX within subsea processing - separation, compression, and power systems. We need you to join the team in developing subsea processing solutions including separation, compression, flow assurance and pumps.Responsibilities and tasks• Take lead and be a driving force within subsea processing technology and systems from idea to the market. • Be the lead process system specialist in subsea processing projects, studies and concept developments, responsible for process system layout, design and simulations. • Be responsible for defining process system equipment.","Qualifications &amp; personal attributesQualifications:• Strong fundamental understanding within fluid mechanics and characteristics, thermodynamics, energy processes and flow assurance.• Experience within oil and gas process systems and subsea processing design.• Understanding of the flow assurance challenges within subsea field development from reservoir to topside.• Master of Science or PhD in relevant discipline.• Oil &amp; gas experience (5-8 years) within subsea or offshore industry, preferable within processing. Candidates with less experience but with strong qualifications may be evaluated.Personal qualities:• Ability to apply the fundamental competence to improve existing and in exploring new solutions. • Innovative and problem solving mindset. • Result orientated - ability to have an elevated, global view over a challenge and identify and solve the key issues.• Ability to work under pressure and on own initiative.• Team player but also self-managed, independent and pro-active.",We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.• A good and creative working environment in a technical driven organization.• Interesting and challenging work tasks in one of the leading subsea technology companies worldwide.• Good career development opportunities nationally and internationally.• An expansive company under constant development • Good personnel and pension insurances and welfare benefits for all employees.,0,1,0,Full-time,,Master's Degree,Oil & Energy,Engineering,1
2042,Head of machining department,"US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.As successor for the current manager we are looking for a Head of machining department:Responsibilities and tasks:Professional and disciplinary management of the machining department with the production processes drilling, milling and turning. Primarily CNC machines are used to machine large and heavy metal work pieces. Also the teams tooling and CNC programming belongs to the department. The whole department consists at the present of 3 foreperson areas and around 60 employees.Meeting of deadlines pertinent to this production department, using appropriate SAP tools and milestone planning.Continuous optimization of production processes, CIP and 6S.Planning in respect of preventative maintenance measures, plant modernization and new acquisitions.Preparation of corresponding information serving as the bases of the decision-making, including cost-benefit analyses and assistance with ROI calculations.Determination of wages and salaries, in consultation with the production manager and the forepersons of the specialized department.Human resource planning, human resource development and succession planning.Cost, deadline and quality assurance work, as part of a cross-departmental team.Acting as contact person for the design and sales departments, along with the other production departments, as regards technical and organisational matters.Supporting of the supply chain management and quality management departments concerning the selection and assignment of suitable suppliers, as well as the continuous assessment of suppliers’ performance and production consulting.Handling of Health, Safety and Environment issues within the department. Here, compliance with relevant regulations and directives is to be ensured and steps towards continuous optimization are to be taken.","Qualifications &amp; personal attributes:You have a good higher education degree in the area of production technology.You have at least three years’ experience in management. We will also consider second-tier candidates (team leaders or deputies) with the necessary experience and qualifications.A comprehensive knowledge of machining production techniques and machining processes is essential. Previous training in the area of machining would be beneficial.Your creativity, analytical thinking, talent for organisation, confident demeanour and ability to work in a team mark you out.Your good academic background notwithstanding, you speak the language of the production department and can therefore adequately cope with technical and personnel-related challenges.You understand how to incorporate the know how of your employees in your decision-making, and how to convince your employees of the effectiveness of proposed improvements and motivate them accordingly.A good command of the English language and a sound ability to use modern data-processing tools round off your profile.A willingness to travel occasionally (&lt; 10% of the time) is required.We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.• Exciting work environment• Versatile challenges• Maximum creative leeway• Flat hierarchies• Scope for initiative",,0,1,0,Full-time,,Bachelor's Degree,Oil & Energy,Engineering,1
2045,Management System Administrator,"US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions' Quality Management group based in Houston, TX, USA provides corporate and project Quality Management system support across the London organisation. We support bids, management and Project Management activities on all of our Oil and Gas production design and procurement projects. We need a talented, enthusiastic Management System Administrator who likes detail and is accomplished in all the standard Microsoft office systems including SharePoint sites and can strengthen our team and support our growth plans within the Offshore Oil &amp; Gas market.Responsibilities and tasks • Development, management and support of the Houston Corporate and Project SharePoint sites. Liaise with Oslo SharePoint facility owners and developers.• Support and management of ProArc facility holding Corporate London Operating System documentation• Word / Excel etc. Template support to project teams• PEM development, support and training.• General administrative and technical support to the HSEQ function in London• General admin support to the Global Quality, HSE and PEM networks• General admin. / technical support to Project Quality &amp; QC functions.• There is potential here to develop skills and capabilities within the HSEQ function and that could involve a number of possible opportunities including supporting the high profile Engineering improvement initiative.","Qualifications &amp; personal attributes Proficient in Microsoft products including Word 2010, Excel, PowerPoint, SPS (SharePoint)Post A level qualifications / Quality audit training• Knowledge and use of SharePoint site facilities.• Knowledge and use of ProArc would be useful• Understanding of principles and practice of Document management and control• Some background in Quality management systems within a technical environment could be useful• Background in HSE management systems for office based organisation could be useful.• Good organisational skills • Good team skills",We offer • Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.,0,1,0,Full-time,,,Oil & Energy,Engineering,1
2052,Maintenance Supervisor,"US, OH, Cincinnati",Maintenance,,"Bradley Contracting Group Corporation offers a wide range of B2B services through a plethora of different small business entities. We have sectors in many different industries. Our main objective is to harness contracts with as many different small businesses, and corporations in the Cincinnati Tri-State Area, and in the southern ohio region.Bradley Contracting Group Corporation has been around for almost 5 years doing work in different cities for various clients. We've worked out of Louisville Ky, Charlotte NC, and Atlanta GA. As of November 2013 we've established ourselves as transportation and courier service. Some clients of note are FedEx Ground, and HHGreg. As a result of our own diligence and dedication to excellence we're also looking to expand into other markets as well as obtain contracts with Lowes, Best Buy, the City of Cincinnati, the State of Ohio, and many different schools and districts of schools as well. We're in excellent standing with the State of Kentucky and a registered Foreign entity with the State of Ohio. We're temporarily stationed out in Hamilton, Ohio within our transportation and warehousing facility we've recently acquired. Our main focus is to establish a reputation of excellence, diligence, and innovation. If you feel you can live up to our motto, ""Excellence no excuses."", we'd love to have you as a part of our team!","The maintenance supervisor is responsible for planning, overseeing and reporting the work of maintenance staff to ensure safe and efficient operations of the facility.  Responsible for making sure maintence staff and groundskeepers are tasked with the upkeep of buildings, grounds and any materials or machinery needed to maintain the facility.  Weekly logs and reports of daily maintenance issues must be kept and recorded.  In addition to directing the work of subordinates, the maintenance supervisor may also be required to assist with maintenance duties, or take over if a maintenace worker is absent or unavailable.","Experience in maintenance, creating reports, and prior supervising experience is strongly preffered. ",,0,1,1,Full-time,,,,,1
2076,Industrial Mechanic,"US, TX, Houston",,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions' Subsea based in Houston,consists of a high tech manufacturing centre and an extremely innovative engineering environment. The plant is tailor made for development and manufacturing of subsea systems. Our products are in demand throughout the world and the prospects for the future are promising. We need Operators who can strengthen our team and support our ambitious growth plans within the Subsea systems for oil and gas production market.We are looking for: Industrial Mechanics/ Test OperatorsResponsibilities and tasks- Perform assembly &amp; test functions to associated Subsea procedures.- The position requires active interfacing and communication with shift leader, test technicians and team leader- Ensure all procedures are executed right and completed and give inputs to test technicians &amp; shift leader- Report non-conformities","Qualifications &amp; personal attributes-Certificate of apprenticeship or other relevant experience in mechanical industry or other relevant industry- Committed to HSE - Good communication skills - Structured - Drive and enthusiasm - Dedication, and willingness to drive change- Team player with high sense of cooperation - English languageIn some departments shift work will be needed.We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.",,0,1,0,Full-time,,Certification,Oil & Energy,Engineering,1
